algoritmo,n,capacidade,seed,tempo_medio,instrucoes,valor_encontrado,valor_otimo_pd,gap_percentual
Forca Bruta,4,72,46,0.00027630000840872526,216,188,188,0.0
Divisao e Conquista,4,72,46,0.00023600005079060793,110,188,188,0.0
Backtracking,4,72,46,0.0002191000385209918,161,188,188,0.0
Forca Bruta,6,181,48,0.0008943000575527549,1249,215,215,0.0
Divisao e Conquista,6,181,48,0.00029250001534819603,404,215,215,0.0
Backtracking,6,181,48,0.0006813000654801726,836,215,215,0.0
Forca Bruta,8,254,50,0.0048547000624239445,6528,257,257,0.0
Divisao e Conquista,8,254,50,0.001190700102597475,1604,257,257,0.0
Backtracking,8,254,50,0.0013398999581113458,1710,257,257,0.0
Prog Dinamica,10,204,52,0.008837200002744794,12395,342,342,0.0
Forca Bruta,10,204,52,0.02268759999424219,32258,342,342,0.0
Divisao e Conquista,10,204,52,0.004212799947708845,5544,342,342,0.0
Backtracking,10,204,52,0.000915299984626472,1533,342,342,0.0
Guloso,10,204,52,0.00043780007399618626,114,340,342,0.5847953216374269
FPTAS (e=0.1),10,204,52,0.007960099959746003,5687,342,342,0.0
Forca Bruta,12,329,54,0.06729330006055534,153607,438,438,0.0
Divisao e Conquista,12,329,54,0.007771800039336085,25392,438,438,0.0
Backtracking,12,329,54,0.0026214999379590154,2256,438,438,0.0
Forca Bruta,14,405,56,0.3095870000543073,712735,554,554,0.0
Divisao e Conquista,14,405,56,0.03712239989545196,94860,554,554,0.0
Backtracking,14,405,56,0.0015408999752253294,5122,554,554,0.0
Forca Bruta,16,390,58,2.784131799940951,3244032,657,657,0.0
Divisao e Conquista,16,390,58,0.13245889998506755,381268,657,657,0.0
Backtracking,16,390,58,0.004270200035534799,12380,657,657,0.0
Prog Dinamica,20,391,62,0.012006700038909912,49462,828,828,0.0
Guloso,20,391,62,8.780008647590876e-05,245,823,828,0.6038647342995169
FPTAS (e=0.1),20,391,62,0.04589890001807362,45473,828,828,0.0
Prog Dinamica,50,1373,92,0.1589494999498129,446948,1888,1888,0.0
Guloso,50,1373,92,0.0001922999508678913,672,1885,1888,0.15889830508474578
FPTAS (e=0.1),50,1373,92,0.5243413000134751,591136,1888,1888,0.0
Prog Dinamica,100,2349,142,1.0080187999410555,1548322,4397,4397,0.0
Guloso,100,2349,142,0.0005129999481141567,1462,4386,4397,0.2501705708437571
FPTAS (e=0.1),100,2349,142,6.898484400007874,5483536,4397,4397,0.0
