experimento,n,algoritmo,epsilon,tempo,valor_encontrado,valor_otimo,gap_percentual
Adversarial_Guloso,5,Guloso,,3.9499951526522636e-05,441,560,21.25
Adversarial_Guloso,10,Guloso,,9.910005610436201e-05,1236,1260,1.9047619047619049
Adversarial_Guloso,20,Guloso,,0.00015330000314861536,2686,2686,0.0
Adversarial_Guloso,50,Guloso,,0.0003565000370144844,7036,7036,0.0
Adversarial_Guloso,100,Guloso,,0.0005406000418588519,14286,14286,0.0
Epsilon_FPTAS,25,FPTAS,0.01,0.9272272000089288,986,986,0.0
Epsilon_FPTAS,25,FPTAS,0.05,0.24571309995371848,986,986,0.0
Epsilon_FPTAS,25,FPTAS,0.1,0.08306340000126511,986,986,0.0
Epsilon_FPTAS,25,FPTAS,0.2,0.060754100093618035,986,986,0.0
Epsilon_FPTAS,25,FPTAS,0.3,0.027582500013522804,986,986,0.0
Epsilon_FPTAS,25,FPTAS,0.5,0.021934199961833656,986,986,0.0
Epsilon_FPTAS,25,FPTAS,0.8,0.011281399987637997,986,986,0.0
